ID,lineage,cell,MYC
ACH-000193,plasma_cell,KARPAS620,1.041280703
ACH-000194,fibroblast,HS934T,1.002001386
ACH-000195,blood,SET2,1.067352299
ACH-000196,breast,HCC1599,1.776672761
ACH-000197,blood,TALL1,1.043900765
ACH-000198,blood,EOL1,1.316738634
ACH-000199,fibroblast,HS255T,1.00023802
ACH-000200,central_nervous_system,NMCG1,0.967949614
ACH-000201,soft_tissue,A204,1.287541757
ACH-000202,colorectal,COLO320,4.715294506
ACH-000203,peripheral_nervous_system,NH6,0.992131575
ACH-000204,plasma_cell,LP1,1.482205603
ACH-000205,pancreas,PK59,1.154955421
ACH-000206,lymphocyte,C8166,0.987127446
ACH-000207,upper_aerodigestive,DETROIT562,1.387330914
ACH-000208,central_nervous_system,U178,1.054310795
ACH-000209,bile_duct,SNU1079,1.035754357
ACH-000210,bone,CADOES1,1.554569519
ACH-000211,central_nervous_system,DAOY,0.949527977
ACH-000212,breast,CAL120,1.565615945
ACH-000213,pancreas,HUPT4,0.959410066
ACH-000214,fibroblast,HS675T,1.006422231
ACH-000215,central_nervous_system,LN382,1.159826728
ACH-000216,esophagus,JHESOAD1,1.305811137
ACH-000217,liver,JHH6,1.504842359
ACH-000218,blood,PL21,1.147812347
ACH-000219,skin,A375,1.042374079
ACH-000220,lymphocyte,MINO,1.193720845
ACH-000221,liver,SNU398,1.315619621
ACH-000222,pancreas,ASPC1,1.318314018
ACH-000223,breast,HCC1937,1.648596835
ACH-000224,fibroblast,HS819T,1.000365046
ACH-000225,gastric,ECC12,1.468971516
ACH-000226,lymphocyte,SUPM2,1.271116939
ACH-000227,peripheral_nervous_system,KPNYN,0.998742049
ACH-000228,upper_aerodigestive,BICR31,1.354052781
ACH-000229,fibroblast,HS822T,1.000950313
ACH-000230,fibroblast,HS742T,0.99955007
ACH-000231,central_nervous_system,KALS1,1.107969353
ACH-000232,central_nervous_system,U251MG,1.087231504
ACH-000233,lymphocyte,DEL,0.984369105
ACH-000234,kidney,CAKI2,1.120000744
ACH-000235,pancreas,PANC0403,1.072637262
ACH-000236,colorectal,SW1417,1.3135208
ACH-000237,ovary,JHOM1,1.150624993
ACH-000238,upper_aerodigestive,SCC4,1.191559726
ACH-000239,gastric,HUG1N,1.315275656
ACH-000240,fibroblast,HS600T,1.009280157
ACH-000241,blood,JK1,1.304185432
ACH-000242,urinary_tract,RT4,0.989748186
ACH-000243,pancreas,DANG,1.202961109
ACH-000244,central_nervous_system,DKMG,1.017166937
ACH-000245,lymphocyte,BL41,0.984880566
ACH-000246,kidney,SLR23,1.138205445
ACH-000247,gastric,OCUM1,1.237461508
ACH-000248,breast,AU565,2.142288459
ACH-000249,colorectal,CL11,1.013243735
ACH-000250,kidney,KMRC20,0.786536304
ACH-000251,lung,NCIH2887,1.86984463
ACH-000252,colorectal,LS1034,0.868880531
ACH-000253,colorectal,COLO201,1.229186946
ACH-000254,upper_aerodigestive,SCC15,1.503656811
ACH-000255,gastric,LMSU,2.064859005
ACH-000256,ovary,COV318,0.664777965
ACH-000257,lung,CORL279,4.49764836
ACH-000258,breast,DU4475,1.046991216
ACH-000259,peripheral_nervous_system,KELLY,0.953147397
ACH-000260,peripheral_nervous_system,SKNAS,1.252736495
ACH-000261,lung,RERFLCAI,1.139190123
ACH-000262,kidney,UOK101,1.033991744
ACH-000263,blood,KASUMI1,1.327064473
ACH-000264,lung,CALU6,1.139383413
ACH-000265,pancreas,KP4,1.871456118
ACH-000266,pancreas,SNU213,1.221527188
ACH-000267,lymphocyte,HDLM2,1.297225885
ACH-000268,bile_duct,SNU245,1.354700646
ACH-000269,central_nervous_system,AM38,1.137090443
ACH-000270,pancreas,HPAC,1.202693591
ACH-000271,lymphocyte,SUDHL10,0.994604129
ACH-000272,kidney,SLR24,1.053422905
ACH-000273,central_nervous_system,SF539,1.22128674
ACH-000274,skin,HS852T,0.986672632
ACH-000275,fibroblast,HS834T,1.000364546
ACH-000276,breast,HCC38,1.503025728
ACH-000277,breast,HCC1419,2.274249167
ACH-000278,ovary,COV362,1.778143885
ACH-000279,bone,EWS502,1.461366955
ACH-000280,ovary,SNU840,1.42245791
ACH-000281,pancreas,KP2,0.800574219
ACH-000282,lung,NCIH1755,1.297230036
ACH-000283,central_nervous_system,A1207,1.070282724
ACH-000284,fibroblast,HS840T,1.010031636
ACH-000285,lymphocyte,TOLEDO,1.225839218
ACH-000286,colorectal,SNU1033,1.503970143
ACH-000287,lymphocyte,NUDUL1,0.993642072
ACH-000288,breast,BT549,1.362647877
ACH-000289,central_nervous_system,SNU466,1.02724245
ACH-000290,lung,NCIH209,1.359243987
ACH-000291,ovary,OV90,1.075570101
ACH-000292,lung,NCIH841,0.883789715
ACH-000293,uterus,KLE,0.818715638
ACH-000294,blood,NB4,1.745608754
ACH-000295,blood,EM2,1.229402572
ACH-000296,colorectal,OUMS23,1.129851204
ACH-000297,lung,NCIH889,1.061035361
ACH-000298,lung,NCIH2029,1.358852264
ACH-000299,blood,HNT34,1.30664501
ACH-000300,kidney,SLR25,1.108227751
ACH-000301,blood,LAMA84,1.323743555
ACH-000302,uterus,SNU1077,1.747344027
ACH-000303,gastric,SNU5,1.236970919
ACH-000304,skin,WM115,1.020848498
ACH-000305,esophagus,ECGI10,1.430711561
ACH-000306,fibroblast,HS688AT,1.013512695
ACH-000307,pancreas,PK1,1.115563147
ACH-000308,ovary,EFO21,1.305125225
ACH-000309,lung,SKLU1,1.188910988
ACH-000310,peripheral_nervous_system,IMR32,0.931126759
ACH-000311,lung,NCIH2122,3.548920518
ACH-000312,peripheral_nervous_system,SKNBE2,1.055359501
ACH-000313,kidney,KMRC3,1.013864486
ACH-000314,lung,HCC2108,1.576582716
ACH-000315,lymphocyte,KARPAS422,1.012949097
ACH-000316,liver,SNU886,1.025810835
ACH-000317,kidney,TUHR14TKB,1.048893421
ACH-000318,esophagus,TE10,1.465858185
ACH-000319,lung,MPP89,1.211706004
ACH-000320,pancreas,PSN1,4.077167731
ACH-000321,blood,MOLM6,1.250825743
ACH-000322,skin,HT144,0.977823607
ACH-000323,central_nervous_system,42MGBA,1.231914432
ACH-000324,ovary,JHOC5,1.219042487
ACH-000325,gastric,SNU620,1.364041075
ACH-000326,blood,JURLMK1,3.190604751
ACH-000327,lung,NCIH1395,1.219801312
ACH-000328,central_nervous_system,LN215,1.107777457
